episode,reward_agent_0,red_coins,blue_coins
1138,31.0,16,15
1139,27.0,16,11
1140,25.0,14,11
1141,34.0,16,18
1142,26.0,7,19
1143,35.0,10,25
1144,29.0,16,13
1145,33.0,22,11
1146,31.0,20,11
1147,29.0,13,16
1148,30.0,16,14
1149,26.0,11,15
1150,25.0,16,9
1151,28.0,18,10
1152,35.0,18,17
1153,33.0,19,14
1154,32.0,13,19
1155,34.0,14,20
1156,31.0,11,20
1157,31.0,12,19
1158,26.0,11,15
1159,22.0,6,16
1160,36.0,22,14
1161,32.0,19,13
1162,31.0,14,17
1163,23.0,11,12
1164,31.0,14,17
1165,36.0,13,23
1166,31.0,15,16
1167,27.0,9,18
1168,20.0,10,10
1169,24.0,10,14
1170,36.0,14,22
1171,34.0,15,19
1172,31.0,9,22
1173,33.0,20,13
1174,5.0,4,1
1175,31.0,15,16
1176,26.0,12,14
1177,31.0,13,18
1178,28.0,8,20
1179,29.0,19,10
1180,29.0,19,10
1181,20.0,6,14
1182,34.0,21,13
1183,35.0,23,12
1184,29.0,13,16
1185,35.0,21,14
1186,24.0,15,9
1187,36.0,20,16
1188,30.0,18,12
1189,28.0,20,8
1190,29.0,15,14
1191,31.0,18,13
1192,34.0,18,16
1193,33.0,19,14
1194,29.0,10,19
1195,26.0,15,11
1196,32.0,10,22
1197,23.0,10,13
1198,32.0,15,17
1199,30.0,12,18
1200,30.0,11,19
1201,24.0,12,12
1202,30.0,14,16
1203,26.0,8,18
1204,28.0,13,15
1205,19.0,9,10
1206,34.0,20,14
1207,29.0,25,4
1208,24.0,10,14
1209,34.0,22,12
1210,30.0,17,13
1211,26.0,15,11
1212,29.0,16,13
1213,27.0,15,12
1214,28.0,12,16
1215,27.0,9,18
1216,30.0,19,11
1217,29.0,16,13
1218,33.0,12,21
1219,28.0,13,15
1220,30.0,20,10
1221,41.0,26,15
1222,30.0,16,14
1223,34.0,18,16
1224,16.0,8,8
1225,28.0,14,14
1226,33.0,14,19
1227,28.0,13,15
1228,27.0,12,15
1229,33.0,18,15
1230,31.0,17,14
1231,28.0,11,17
1232,30.0,18,12
1233,31.0,12,19
1234,16.0,6,10
1235,28.0,10,18
1236,30.0,18,12
1237,27.0,12,15
1238,36.0,20,16
1239,31.0,17,14
1240,30.0,16,14
1241,24.0,6,18
1242,35.0,17,18
1243,30.0,23,7
1244,30.0,12,18
1245,28.0,16,12
1246,31.0,19,12
1247,36.0,18,18
1248,30.0,17,13
1249,33.0,14,19
1250,37.0,15,22
1251,29.0,14,15
1252,28.0,17,11
1253,35.0,18,17
1254,38.0,20,18
1255,18.0,7,11
1256,32.0,17,15
1257,23.0,10,13
1258,26.0,8,18
1259,30.0,11,19
1260,26.0,10,16
1261,28.0,11,17
1262,26.0,17,9
1263,33.0,13,20
1264,22.0,10,12
1265,28.0,6,22
1266,17.0,12,5
1267,3.0,2,1
1268,36.0,12,24
1269,30.0,19,11
1270,14.0,6,8
1271,29.0,20,9
1272,36.0,21,15
1273,36.0,17,19
1274,35.0,20,15
1275,38.0,16,22
1276,22.0,7,15
1277,32.0,20,12
1278,31.0,21,10
1279,10.0,3,7
1280,29.0,15,14
1281,22.0,9,13
1282,30.0,11,19
1283,30.0,10,20
1284,23.0,13,10
1285,34.0,13,21
1286,14.0,5,9
1287,35.0,13,22
