episode,reward_agent_0,reward_agent_1,a0_red_coins,a0_blue_coins,a1_red_coins,a1_blue_coins
700,25.0,22.0,27,2,3,25
701,9.0,19.0,23,14,4,23
702,13.0,19.0,17,4,5,24
703,14.0,14.0,18,4,5,19
704,17.0,18.0,21,4,6,24
705,14.0,18.0,23,9,6,24
706,18.0,15.0,21,3,9,24
707,23.0,20.0,30,7,7,27
708,11.0,18.0,22,11,5,23
709,7.0,13.0,11,4,7,20
710,21.0,16.0,24,3,5,21
711,20.0,17.0,28,8,6,23
712,17.0,21.0,22,5,2,23
713,17.0,12.0,19,2,7,19
714,11.0,22.0,21,10,5,27
715,-3.0,13.0,6,9,4,17
716,19.0,15.0,23,4,3,18
717,9.0,19.0,18,9,8,27
718,15.0,12.0,22,7,10,22
719,20.0,13.0,25,5,11,24
720,19.0,18.0,22,3,3,21
721,18.0,17.0,25,7,8,25
722,18.0,13.0,23,5,6,19
723,14.0,16.0,21,7,3,19
724,17.0,17.0,22,5,6,23
725,18.0,12.0,25,7,13,25
726,14.0,19.0,24,10,5,24
727,19.0,17.0,22,3,5,22
728,12.0,19.0,16,4,5,24
729,20.0,11.0,26,6,8,19
730,16.0,11.0,22,6,10,21
731,16.0,19.0,22,6,4,23
732,15.0,21.0,17,2,6,27
733,16.0,13.0,20,4,5,18
734,7.0,22.0,14,7,5,27
735,18.0,15.0,24,6,7,22
736,13.0,14.0,16,3,7,21
737,18.0,17.0,20,2,5,22
738,23.0,21.0,27,4,0,21
739,17.0,12.0,23,6,1,13
740,9.0,17.0,13,4,10,27
741,7.0,13.0,18,11,4,17
742,23.0,10.0,27,4,8,18
743,17.0,18.0,24,7,4,22
744,13.0,13.0,23,10,5,18
745,22.0,20.0,27,5,6,26
746,4.0,14.0,15,11,10,24
747,19.0,14.0,20,1,11,25
748,16.0,18.0,22,6,5,23
749,20.0,23.0,23,3,4,27
750,19.0,14.0,22,3,10,24
751,17.0,14.0,18,1,9,23
752,16.0,15.0,21,5,4,19
753,21.0,17.0,23,2,6,23
754,15.0,10.0,21,6,8,18
755,6.0,21.0,19,13,2,23
756,19.0,12.0,22,3,9,21
757,9.0,14.0,18,9,6,20
